initiative_id,site_id,workstream,initiative_name,target_metric,expected_value_usd,expected_outcome,effort_hours,owner_team,project_methodology,phase,status,start_week,due_week,site_name,market,readiness_score,initiative_score,value_density_usd_per_hour,recommended_pm_action
BVT-020-2,SITE-020,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,123260,wellness participation lift,90,Analytics,Milestone waterfall,Discovery,At risk,2026-W11,2026-W20,Upper Manhattan Youth Hub 5,Upper Manhattan,73.3,96.8,1369.6,Track realization
BVT-020-1,SITE-020,Family Outreach,STEM and Coding family outreach plan,family_touchpoints,120987,family engagement lift,104,Finance,Milestone waterfall,Pilot,Blocked,2026-W09,2026-W15,Upper Manhattan Youth Hub 5,Upper Manhattan,73.3,96.1,1163.3,Escalate dependency
BVT-016-2,SITE-016,Reporting Automation,Music and Arts reporting automation plan,data_completeness_rate,183568,manual reporting hours removed,137,Finance,RACI tracker,Scale,At risk,2026-W09,2026-W19,Upper Manhattan Youth Hub 1,Upper Manhattan,77.7,94.2,1339.9,Track realization
BVT-007-2,SITE-007,Program Mix Optimization,College and Career program mix optimization plan,engagement_rate,154550,student engagement lift,140,Site Leadership,Agile sprint board,Scale,At risk,2026-W12,2026-W15,Central Brooklyn Youth Hub 2,Central Brooklyn,74.5,93.0,1103.9,Track realization
BVT-014-1,SITE-014,Reporting Automation,STEM and Coding reporting automation plan,data_completeness_rate,131369,manual reporting hours removed,109,Partnerships,DMAIC improvement cycle,Discovery,At risk,2026-W09,2026-W20,Northern Queens Youth Hub 4,Northern Queens,74.6,91.9,1205.2,Track realization
BVT-015-2,SITE-015,Sports Wellness Expansion,Music and Arts sports wellness expansion plan,sports_wellness_participation_rate,164094,wellness participation lift,130,Partnerships,DMAIC improvement cycle,Sustain,On track,2026-W12,2026-W17,Northern Queens Youth Hub 5,Northern Queens,74.4,90.2,1262.3,Track realization
BVT-015-3,SITE-015,Attendance Recovery,Music and Arts attendance recovery plan,attendance_rate,137927,weekly attendance lift,155,Site Leadership,RACI tracker,Scale,At risk,2026-W11,2026-W15,Northern Queens Youth Hub 5,Northern Queens,74.4,86.4,889.9,Track realization
BVT-004-1,SITE-004,Program Mix Optimization,Academic Enrichment program mix optimization plan,engagement_rate,188158,student engagement lift,168,Analytics,DMAIC improvement cycle,Scale,At risk,2026-W11,2026-W20,South Bronx Youth Hub 4,South Bronx,79.4,86.2,1120.0,Track realization
BVT-003-2,SITE-003,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,180461,wellness participation lift,167,Program Ops,Milestone waterfall,Discovery,Ready for review,2026-W09,2026-W18,South Bronx Youth Hub 3,South Bronx,73.7,83.8,1080.6,Track realization
BVT-025-2,SITE-025,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,177813,wellness participation lift,156,Analytics,Milestone waterfall,Pilot,Ready for review,2026-W11,2026-W17,Staten Island Youth Hub 5,Staten Island,80.2,81.0,1139.8,Size next sprint
BVT-017-2,SITE-017,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,164001,weekly attendance lift,167,Site Leadership,Milestone waterfall,Design,At risk,2026-W12,2026-W19,Upper Manhattan Youth Hub 2,Upper Manhattan,79.8,79.2,982.0,Size next sprint
BVT-012-2,SITE-012,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,117059,family engagement lift,104,Finance,RACI tracker,Pilot,Ready for review,2026-W08,2026-W21,Northern Queens Youth Hub 2,Northern Queens,79.9,78.9,1125.6,Size next sprint
BVT-027-3,SITE-027,Sports Wellness Expansion,Sports and Wellness sports wellness expansion plan,sports_wellness_participation_rate,101729,wellness participation lift,98,Analytics,Milestone waterfall,Sustain,Ready for review,2026-W08,2026-W19,Anchorage Launch Youth Hub 2,Anchorage Launch,76.1,75.9,1038.1,Track realization
BVT-023-2,SITE-023,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,180769,family engagement lift,189,Program Ops,Milestone waterfall,Pilot,On track,2026-W08,2026-W21,Staten Island Youth Hub 3,Staten Island,79.6,75.8,956.4,Size next sprint
BVT-028-2,SITE-028,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,115828,wellness participation lift,191,Partnerships,DMAIC improvement cycle,Scale,At risk,2026-W11,2026-W16,Anchorage Launch Youth Hub 3,Anchorage Launch,76.4,75.8,606.4,Track realization
BVT-006-1,SITE-006,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,96207,wellness participation lift,138,Site Leadership,DMAIC improvement cycle,Discovery,At risk,2026-W08,2026-W17,Central Brooklyn Youth Hub 1,Central Brooklyn,74.0,75.3,697.2,Track realization
BVT-001-2,SITE-001,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,176492,wellness participation lift,198,Finance,RACI tracker,Scale,At risk,2026-W09,2026-W17,South Bronx Youth Hub 1,South Bronx,79.1,73.3,891.4,Track realization
BVT-009-2,SITE-009,Staffing Model,Academic Enrichment staffing model plan,staff_coverage_rate,115092,coverage gap reduction,231,Analytics,Agile sprint board,Scale,Blocked,2026-W10,2026-W20,Central Brooklyn Youth Hub 4,Central Brooklyn,76.0,73.2,498.2,Escalate dependency
BVT-022-3,SITE-022,Attendance Recovery,Academic Enrichment attendance recovery plan,attendance_rate,154524,weekly attendance lift,257,Finance,RACI tracker,Discovery,At risk,2026-W12,2026-W16,Staten Island Youth Hub 2,Staten Island,76.8,71.3,601.3,Track realization
BVT-008-2,SITE-008,Staffing Model,College and Career staffing model plan,staff_coverage_rate,158861,coverage gap reduction,225,Finance,DMAIC improvement cycle,Pilot,On track,2026-W11,2026-W21,Central Brooklyn Youth Hub 3,Central Brooklyn,74.6,70.8,706.0,Size next sprint
BVT-026-1,SITE-026,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,117621,weekly attendance lift,156,Partnerships,DMAIC improvement cycle,Design,On track,2026-W12,2026-W17,Anchorage Launch Youth Hub 1,Anchorage Launch,76.9,70.8,754.0,Size next sprint
BVT-003-3,SITE-003,Attendance Recovery,STEM and Coding attendance recovery plan,attendance_rate,132719,weekly attendance lift,322,Analytics,DMAIC improvement cycle,Design,Blocked,2026-W09,2026-W16,South Bronx Youth Hub 3,South Bronx,73.7,70.6,412.2,Escalate dependency
BVT-025-1,SITE-025,Attendance Recovery,Sports and Wellness attendance recovery plan,attendance_rate,91575,weekly attendance lift,138,Analytics,Agile sprint board,Scale,At risk,2026-W11,2026-W21,Staten Island Youth Hub 5,Staten Island,80.2,70.4,663.6,Track realization
BVT-022-2,SITE-022,Family Outreach,Academic Enrichment family outreach plan,family_touchpoints,112397,family engagement lift,246,Program Ops,Milestone waterfall,Discovery,Blocked,2026-W11,2026-W21,Staten Island Youth Hub 2,Staten Island,76.8,70.3,456.9,Escalate dependency
BVT-002-2,SITE-002,Family Outreach,Music and Arts family outreach plan,family_touchpoints,145244,family engagement lift,139,Site Leadership,Milestone waterfall,Discovery,On track,2026-W09,2026-W16,South Bronx Youth Hub 2,South Bronx,79.7,69.8,1044.9,Track realization
BVT-008-3,SITE-008,Sports Wellness Expansion,College and Career sports wellness expansion plan,sports_wellness_participation_rate,91869,wellness participation lift,184,Partnerships,Milestone waterfall,Scale,At risk,2026-W12,2026-W18,Central Brooklyn Youth Hub 3,Central Brooklyn,74.6,69.6,499.3,Track realization
BVT-021-2,SITE-021,Staffing Model,Academic Enrichment staffing model plan,staff_coverage_rate,186893,coverage gap reduction,228,Analytics,RACI tracker,Scale,On track,2026-W11,2026-W20,Staten Island Youth Hub 1,Staten Island,77.6,69.6,819.7,Track realization
BVT-006-2,SITE-006,Staffing Model,STEM and Coding staffing model plan,staff_coverage_rate,114732,coverage gap reduction,209,Site Leadership,RACI tracker,Sustain,At risk,2026-W11,2026-W17,Central Brooklyn Youth Hub 1,Central Brooklyn,74.0,69.5,549.0,Track realization
BVT-016-3,SITE-016,Family Outreach,Music and Arts family outreach plan,family_touchpoints,166769,family engagement lift,239,Finance,Agile sprint board,Design,At risk,2026-W09,2026-W16,Upper Manhattan Youth Hub 1,Upper Manhattan,77.7,69.4,697.8,Size next sprint
BVT-006-3,SITE-006,Reporting Automation,STEM and Coding reporting automation plan,data_completeness_rate,129623,manual reporting hours removed,219,Analytics,RACI tracker,Pilot,On track,2026-W12,2026-W19,Central Brooklyn Youth Hub 1,Central Brooklyn,74.0,69.2,591.9,Size next sprint
BVT-004-3,SITE-004,Sports Wellness Expansion,Academic Enrichment sports wellness expansion plan,sports_wellness_participation_rate,188524,wellness participation lift,248,Analytics,DMAIC improvement cycle,Scale,On track,2026-W08,2026-W21,South Bronx Youth Hub 4,South Bronx,79.4,68.6,760.2,Track realization
BVT-017-3,SITE-017,Reporting Automation,Sports and Wellness reporting automation plan,data_completeness_rate,176874,manual reporting hours removed,308,Analytics,DMAIC improvement cycle,Scale,At risk,2026-W12,2026-W21,Upper Manhattan Youth Hub 2,Upper Manhattan,79.8,67.3,574.3,Track realization
BVT-005-1,SITE-005,Sports Wellness Expansion,STEM and Coding sports wellness expansion plan,sports_wellness_participation_rate,101198,wellness participation lift,199,Finance,RACI tracker,Sustain,Blocked,2026-W11,2026-W15,South Bronx Youth Hub 5,South Bronx,75.2,66.9,508.5,Escalate dependency
BVT-019-2,SITE-019,Staffing Model,STEM and Coding staffing model plan,staff_coverage_rate,152273,coverage gap reduction,397,Partnerships,RACI tracker,Scale,Blocked,2026-W10,2026-W19,Upper Manhattan Youth Hub 4,Upper Manhattan,75.7,66.4,383.6,Escalate dependency
BVT-017-1,SITE-017,Family Outreach,Sports and Wellness family outreach plan,family_touchpoints,160503,family engagement lift,358,Site Leadership,DMAIC improvement cycle,Pilot,Blocked,2026-W09,2026-W18,Upper Manhattan Youth Hub 2,Upper Manhattan,79.8,65.9,448.3,Escalate dependency
BVT-028-3,SITE-028,Reporting Automation,Academic Enrichment reporting automation plan,data_completeness_rate,120529,manual reporting hours removed,368,Analytics,RACI tracker,Sustain,Blocked,2026-W10,2026-W15,Anchorage Launch Youth Hub 3,Anchorage Launch,76.4,65.8,327.5,Escalate dependency
